Category,Item,"Scenario 1: Family of Four, Ontario Works","Scenario 2: Family of Four, Full-Time Minimum Wage Earner","Scenario 3: Family of Four, Median Income","Scenario 4: Single Parent Household with 2 Children, Ontario Works","Scenario 5: One person Household, Ontario Works","Scenario 6: One Person Household, Ontario Disability Support Program","Scenario 7: One Person Household, Old Age Security /Guaranteed Annual Income Supplement","Scenario 8: Married Couple, Ontario Disability Support Program","Scenario 9: Single Pregnant Person, Ontario Disability Support Program","Scenario 10: Single Person Household, Full-Time Minimum Wage Earner","Scenario 11: Single person, Minimum Wage Earner", ,,,,,,,,,,,,,
Income,Income from Employment , ,"$2,687.00","$9,575.00",,,,,,,"$2,687.00","$2,687.00",,,,,,,,,,,,,,
Income,Basic Allowance,$494.00,,,$360.00,$343.00,$706.00,,"$1,409.00",$706.00,,,,,,,,,,,,,,,,
Income,Maximum Shelter Allowance,$756.00,,,$697.00,$390.00,$522.00,,$821.00,$522.00,,,,,,,,,,,,,,,,
Income,Old Age Security/Guaranteed Income Supplement, ,,,,,,"$1,723.00",,,,,,,,,,,,,,,,,,
Income,Ontario Guaranteed Annual Income System, ,,,,,,$83.00,,,,,,,,,,,,,,,,,,
Income,Canada Child Benefit,"$1,235.00","$1,192.00",$248.00,"$1,235.00",,,,,,"$1,375.00",,,,,,,,,,,,,,,
Income,GST/HST credit,$78.00,$78.00,,$78.00,$26.00,$32.00,$39.00,$51.00,$32.00,$78.00,$39.00,,,,,,,,,,,,,,
Income,Ontario Trillium Benefit,$201.00,$201.00,,$164.00,$87.00,$95.00,$133.00,$122.00,$95.00,$164.00,$64.00,,,,,,,,,,,,,,
Income,Canada Worker Benefit, ,$159.00,,,,,,,,$159.00,$159.00,,,,,,,,,,,,,,
Employment Deduction,Employment Insurance paid, ,-$44.00,-$137.00,,,,,,,-$44.00,-$44.00,,,,,,,,,,,,,,
Employment Deduction,Canada Pension Plan paid, ,-$143.00,-$464.00,,,,,,,-$143.00,-$143.00,,,,,,,,,,,,,,
Income,Climate Action Incentive Payment (CAIP),$62.00,$62.00,$62.00,$54.00,$31.00,$31.00,$31.00,$47.00,$31.00,$54.00,$31.00,,,,,,,,,,,,,,
Income,Pregnancy/Breast-feeding Nutritional Allowance (non-lactose intolerant), ,,,,,,,,$40.00,,,,,,,,,,,,,,,,
Income,Total,"$2,826.00","$4,192.00","$9,284.00","$2,588.00",$877.00,"$1,386.00","$2,009.00","$2,450.00","$1,426.00","$4,330.00","$2,793.00",,,,,,,,,,,,,,
Selected Expenses,Average Monthly Rent,"$4,549.00","$4,549.00","$4,549.00","$3,323.00","$2,092.00","$2,531.00","$2,531.00","$2,531.00","$2,531.00","$3,323.00","$2,092.00",,,,,,,,,,,,,,
Selected Expenses,Food,"$1,177.00","$1,177.00","$1,177.00",$866.00,$422.00,$422.00,$304.00,$705.00,$401.00,$751.00,$351.00,,,,,,,,,,,,,,
Selected Expenses,Childcare,$637.00,$637.00,$637.00,$637.00,,,,,,"$1,414.00",,,,,,,,,,,,,,,
Selected Expenses,Transportation,$419.00,$882.00,$882.00,$263.00,$156.00,$156.00,$128.00,$775.00,$156.00,$619.00,$619.00,,,,,,,,,,,,,,
Selected Expenses,Total,"$6,782.00","$7,245.00","$7,245.00","$5,089.00","$2,670.00","$3,109.00","$2,963.00","$4,011.00","$3,088.00","$6,107.00","$3,062.00",,,,,,,,,,,,,,
Other,Funds Remaining,"-$3,956.00","-$3,053.00","$2,039.00","-$2,501.00","-$1,793.00","-$1,723.00",-$954.00,"-$1,561.00","-$1,662.00","-$1,777.00",-$269.00,,,,,,,,,,,,,,
Other,Percentage of income required for rent,161,109,49,128,239,183,126,103,177,77,75,,,,,,,,,,,,,,
Other,Percentage of income required to purchase healthy food,42,28,13,33,48,30,15,29,28,17,13,,,,,,,,,,,,,,